LA,LAESTAB,URN,NAME,NFTYPE,DESCRIPTION,NUMBER_OF_ENTRIES,QUALIFICATION,LEVEL,QUALIFICATION_TYPE
937,9374112,136459,The Polesworth School,ACC,Sociology,25,A level,3,Academic
937,9374114,143905,Southam College,ACC,Art and Design (Fine Art),8,A level,3,Academic
937,9374114,143905,Southam College,ACC,Art and Design (Graphics),2,A level,3,Academic
937,9374114,143905,Southam College,ACC,Art and Design (Photography),7,A level,3,Academic
937,9374114,143905,Southam College,ACC,Art and Design (Textiles),6,A level,3,Academic
937,9374114,143905,Southam College,ACC,Biology,25,A level,3,Academic
937,9374114,143905,Southam College,ACC,Business Studies:Single,14,A level,3,Academic
937,9374114,143905,Southam College,ACC,Chemistry,15,A level,3,Academic
937,9374114,143905,Southam College,ACC,Computer Studies / Computing,8,A level,3,Academic
937,9374114,143905,Southam College,ACC,Design and Technology (Product Design),4,A level,3,Academic
937,9374114,143905,Southam College,ACC,Drama and Theatre Studies,5,A level,3,Academic
937,9374114,143905,Southam College,ACC,Economics,14,A level,3,Academic
937,9374114,143905,Southam College,ACC,English Language,20,A level,3,Academic
937,9374114,143905,Southam College,ACC,English Literature,15,A level,3,Academic
937,9374114,143905,Southam College,ACC,Geography,25,A level,3,Academic
937,9374114,143905,Southam College,ACC,German,1,A level,3,Academic
937,9374114,143905,Southam College,ACC,Government and Politics,14,A level,3,Academic
937,9374114,143905,Southam College,ACC,History,36,A level,3,Academic
937,9374114,143905,Southam College,ACC,Mathematics,47,A level,3,Academic
937,9374114,143905,Southam College,ACC,Mathematics (Further),12,A level,3,Academic
937,9374114,143905,Southam College,ACC,Media/Film/Tv Studies,5,A level,3,Academic
937,9374114,143905,Southam College,ACC,Physical Education / Sports Studies,7,A level,3,Academic
937,9374114,143905,Southam College,ACC,Physics,22,A level,3,Academic
937,9374114,143905,Southam College,ACC,Psychology,24,A level,3,Academic
937,9374114,143905,Southam College,ACC,Religious Studies,9,A level,3,Academic
937,9374114,143905,Southam College,ACC,Sociology,31,A level,3,Academic
937,9374114,143905,Southam College,ACC,Spanish,5,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Art and Design (Fine Art),5,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Art and Design (Photography),12,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Biology,15,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Business Studies:Single,33,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Chemistry,8,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Dance,4,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Design and Technology (Product Design),5,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Economics,21,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,English Language,21,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,English Literature,17,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Geography,17,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,History,24,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Mathematics,29,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Mathematics (Further),2,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Media/Film/Tv Studies,19,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Physical Education / Sports Studies,9,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Physics,15,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Portuguese,1,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Psychology,16,A level,3,Academic
937,9374124,137236,Stratford Upon Avon School,ACC,Sociology,42,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Art and Design (Fine Art),5,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Biology,25,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Business Studies:Single,26,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Chemistry,12,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Computer Studies / Computing,2,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Economics,16,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,English Language,7,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,English Literature,7,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,French,3,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Geography,30,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Government and Politics,14,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,History,13,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Law,14,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Mathematics,26,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Mathematics (Further),8,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Media/Film/Tv Studies,6,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Physical Education / Sports Studies,13,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Physics,4,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Psychology,18,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Punjabi,1,A level,3,Academic
937,9374153,137767,Higham Lane School,ACC,Sociology,12,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Art and Design (Fine Art),5,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Art and Design (Photography),2,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Biology,12,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Chemistry,7,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Design and Technology (Product Design),9,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Drama and Theatre Studies,4,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Economics,15,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,English Language,9,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,English Literature,3,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Geography,4,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,History,11,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Mathematics,20,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Mathematics (Further),2,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Media/Film/Tv Studies,7,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Physical Education / Sports Studies,1,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Physics,5,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Psychology,20,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Religious Studies,5,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Sociology,6,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Spanish,2,A level,3,Academic
937,9374190,137770,Aylesford School and Sixth Form College,ACC,Turkish,1,A level,3,Academic
937,9374192,137766,Campion School,ACC,Art and Design (Photography),5,A level,3,Academic
937,9374192,137766,Campion School,ACC,Biology,4,A level,3,Academic
937,9374192,137766,Campion School,ACC,Business Studies:Single,9,A level,3,Academic
937,9374192,137766,Campion School,ACC,Chemistry,9,A level,3,Academic
937,9374192,137766,Campion School,ACC,Drama and Theatre Studies,3,A level,3,Academic
937,9374192,137766,Campion School,ACC,Film Studies,1,A level,3,Academic
937,9374192,137766,Campion School,ACC,French,3,A level,3,Academic
937,9374192,137766,Campion School,ACC,Mathematics,8,A level,3,Academic
937,9374192,137766,Campion School,ACC,Mathematics (Further),1,A level,3,Academic
937,9374192,137766,Campion School,ACC,Physics,5,A level,3,Academic
937,9374192,137766,Campion School,ACC,Psychology,3,A level,3,Academic
937,9374192,137766,Campion School,ACC,Sociology,2,A level,3,Academic
937,9374192,137766,Campion School,ACC,Spanish,2,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Art and Design (Fine Art),1,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Biology,8,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Business Studies:Single,19,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Chemistry,8,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Economics,14,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,English Language,9,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,English Literature,6,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Geography,20,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,History,10,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Mathematics,19,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Mathematics (Further),7,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Physics,11,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Psychology,19,A level,3,Academic
937,9374233,136986,The Coleshill School,ACC,Sociology,18,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Art and Design (Fine Art),14,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Art and Design (Graphics),12,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Art and Design (Textiles),7,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Biology,62,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Business Studies:Single,64,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Chemistry,33,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Computer Studies / Computing,8,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Design and Technology (Product Design),10,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Drama and Theatre Studies,15,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Economics,41,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,English Language,14,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,English Language and Literature,10,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,English Literature,22,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,French,13,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Geography,20,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,German,5,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Government and Politics,12,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,History,34,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Mathematics,85,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Mathematics (Further),23,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Music,2,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Physical Education / Sports Studies,8,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Physics,37,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Polish,1,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Psychology,58,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Religious Studies,23,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Russian,1,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Sociology,29,A level,3,Academic
937,9374236,146697,Kenilworth School and Sixth Form,ACC,Spanish,12,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Art and Design (Fine Art),7,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Art and Design (Photography),8,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Art and Design (Textiles),5,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Biology,18,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Business Studies:Single,16,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Chemistry,14,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Computer Studies / Computing,3,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Drama and Theatre Studies,6,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,English Language and Literature,15,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,English Literature,10,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Geography,14,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,German,2,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,History,22,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Mathematics,26,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Mathematics (Further),1,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Media/Film/Tv Studies,19,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Physical Education / Sports Studies,12,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Physics,13,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Psychology,39,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Religious Studies,17,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Sociology,33,A level,3,Academic
937,9374237,142202,North Leamington School,ACC,Spanish,1,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Art and Design (Fine Art),17,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Art and Design (Photography),12,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Biology,34,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Business Studies:Single,10,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Chemistry,24,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Computer Studies / Computing,11,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Drama and Theatre Studies,2,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Economics,18,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,English Language,13,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,English Language and Literature,19,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,English Literature,12,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,French,8,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Geography,12,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,German,8,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Government and Politics,21,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,History,21,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Law,9,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Mathematics,66,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Mathematics (Further),8,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Media/Film/Tv Studies,12,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Music,2,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Physical Education / Sports Studies,12,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Physics,21,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Polish,2,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Psychology,42,A level,3,Academic
937,9374241,136587,Ashlawn School,ACC,Sociology,61,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Ancient History,7,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Art and Design (Fine Art),10,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Biology,57,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Chemistry,71,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Classical Greek,2,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Computer Studies / Computing,6,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Design and Technology (Product Design),7,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Drama and Theatre Studies,6,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Economics,39,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,English Literature,27,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Film Studies,1,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,French,9,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Geography,41,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,German,11,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,History,30,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Latin,7,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Logic / Philosophy,6,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Mathematics,98,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Mathematics (Further),26,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Music,3,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Physical Education / Sports Studies,5,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Physics,40,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Psychology,19,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Russian,1,A level,3,Academic
937,9374601,137302,King Edward VI School,ACC,Spanish,7,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Art and Design,10,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Biology,73,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Business Studies:Single,14,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Chemistry,54,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Computer Studies / Computing,18,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Economics,49,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,English Language,8,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,English Literature,14,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,French,10,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Geography,23,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,German,1,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Government and Politics,14,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,History,24,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Mathematics,111,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Mathematics (Further),32,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Music,6,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Physical Education / Sports Studies,9,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Physics,46,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Polish,1,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Psychology,17,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Religious Studies,18,A level,3,Academic
937,9374620,141277,Lawrence Sheriff School,ACC,Spanish,2,A level,3,Academic
937,9374803,141836,St Thomas More Catholic School and Sixth Form College,ACC,Art and Design (Fine Art),5,A level,3,Academic
937,9374803,141836,St Thomas More Catholic School and Sixth Form College,ACC,Biology,24,A level,3,Academic
937,9374803,141836,St Thomas More Catholic School and Sixth Form College,ACC,Business Studies:Single,17,A level,3,Academic
937,9374803,141836,St Thomas More Catholic School and Sixth Form College,ACC,Chemistry,20,A level,3,Academic
